,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Fabricaton,Origin,Fabriction,Fabrocation,Materia,Platform,Volume,Suitable,Includes,Wedge,Sport,Sneaker,Base,Footwear,Ingredients,Formal,Toe,Size,Qty,Care
376,Authentic - (checkerboard) golden nugget/true white,Vans,Golden nugget/true white,Code VN0A348A3XV1,Canvas Upper with Waffle Sole,R561,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2090891/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
377,Authentic - (valentines hearts) true white/fuchsia purple,Vans,True white/fuchsia purple,Code VN0A348A40Q1,Canvas Upper with Waffle Sole,R599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2090914/original.jpg,women,"UK 3, UK 5, UK 6, UK 4, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
378,Era - (leopard) black/true white,Vans,Black/true white,Code VN0A4U393I61,Canvas Upper with Waffle Sole,R799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2091218/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
379,Japan s - white/white,Asics,White/White,Code 1191A163-100,,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2080332/original.jpg,women,"UK 12, UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,,,,
380,Superstar bold - ftwr white/off white/green,adidas Originals,Ftwr white/off white/green,Code FY5481,Vegan Upper with Rubber Sole,R1274,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2095085/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
381,Adidas sleek w - ftwr white/scarlet/core black,adidas Originals,Ftwr white/scarlet/core black,Code FZ1829,Leather Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2095293/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
382,Cali sport metallic wn's - puma black-puma black-puma team gold,PUMA,puma black-puma black-puma team gold,,Leather Upper/Rubber Sole,R1349,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2071788/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",,,,,,,,,,,,,,,,,,,,
383,NMD_R1 - core black/ftwr white/hazy rose,adidas Originals,Core black/ftwr white/hazy rose,Code FY3771,Knit Upper with Rubber Sole,R2024,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2095067/original.jpg,women,"UK 7, UK 3.5, UK 4, UK 5, UK 6, UK 8, ",,,,,,,,,,,,,,,,,,,,
384,Superstar w - ftwr white/gold met./ftwr white,adidas Originals,Ftwr white/gold met./ftwr white,Code G55658,Leather Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2095329/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 3.5, UK 8, ",,,,,,,,,,,,,,,,,,,,
385,Cali galentines wn’s - puma white-puma black,PUMA,Puma White - Puma Black,,Leather Upper/Rubber Sole,R1274,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2071754/original.jpg,women,"UK 8, UK 3, UK 4, UK 5, UK 6, UK 7, ",,,,,,,,,,,,,,,,,,,,
