,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Product url
34,Cl legacy - alabas/chalk/lasred,Reebok,alabas/chalk/lasred,Code FY7432,Textile Upper with Rubber Sole,1399,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2198505/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, ",https://superbalist.com/women/shoes/sneakers/cl-legacy-fy7432-alabas-chalk-lasred/740806
35,Calow basic q2 - delta blue,G-Star RAW,Delta blue,Code D20039-C826-1852,Cow Suede Leather & PU-leather detailing,2199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2221139/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/calow-basic-q2-delta-blue/670412
36,Era x Spongebob - best friends,Vans,Best Friends,Code VN0A54F19ES1,"Canvas, Mesh & Suede Upper with Waffle Sole",1299,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2240425/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/era-x-spongebob-best-friends/687010
37,Classic Slip-On x Spongebob - alohabob,Vans,Alohabob,Code VN0A33TBYZ11,Canvas Upper with Waffle Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2240356/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/classic-slip-on-x-spongebob-alohabob/687009
38,SK8-Hi x Spongebob - imaginaaation,Vans,Imaginaaation,Code VN0A32QGZAW1,Canvas Upper with Waffle Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2240324/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/sk8-hi-x-spongebob-imaginaaation/687012
39,Authentic x SpongeBob - airbrush,Vans,Airbrush,Code VN0A5HZSZAS1,Canvas Upper with Waffle Sole,1099,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2240285/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/authentic-x-spongebob-airbrush/687008
40,Cl legacy - minblu/cougrn/syello,Reebok,Minblu/Cougrn/Syello,Code FY7335,Leather Upper with Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2198399/original.jpg,women,"UK 3, UK 4, UK 7, UK 8, UK 9, UK 11, UK 5, UK 6, UK 10, ",https://superbalist.com/women/shoes/sneakers/cl-legacy-fy7335-minblu-cougrn-syello/740803
41,Club c 85 - white/white/neoblu,Reebok,white/white/neoblu,Code FV1096,Leather Upper with Rubber Sole,1099,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2197845/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/club-c-85-fv1096-white-white-neoblu/740785
42,2790 cotlettering - white,SUPERGA,White,Code S7117DW-901,Canvas Upper with Rubber Sole,1199,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2240775/original.jpg,women,"UK 5.5, UK 6, UK 6.5, UK 7, UK 8, UK 2.5, UK 3.5, UK 4, UK 5, ",https://superbalist.com/women/shoes/sneakers/2790-cotlettering-s7117dw-901-white/690535
43,2341 alpina jelly - beige lt sand,SUPERGA,beige lt sand,Code S1114WW-602,Canvas Upper with Gum Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2240755/original.jpg,women,"UK 2.5, UK 3.5, UK 4, UK 5, UK 5.5, UK 6.5, UK 7, UK 8, ",https://superbalist.com/women/shoes/sneakers/2341-alpina-jelly-s1114ww-602-beige-lt-sand/705833
