,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Fabricarion,FabricationMaterial,Fabriction,Volume,Fabircation,Suitable,Includes,Sneaker,Footwear,Base,Ingredients,Formal,Toe,Sport,Size,Qty,Care
637,Chuck Taylor All Star ultra mid - black,Converse,Black,Code 162378C,Synthetic Upper with Rubber Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1933930/original.jpg,men,"UK 6, UK 9, UK 10, UK 11, UK 7, UK 8, ",,,,,,,,,,,,,,,,,
638,ZX 4000 - orbit grey / dove grey / metal grey,adidas Originals,Orbit grey/dove grey/metal grey,Code FW5784,Leather Upper with Rubber sole,R1104,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1932843/original.jpg,men,"UK 7, UK 8, UK 10, UK 12, UK 6, UK 9, UK 11, ",,,,,,,,,,,,,,,,,
639,Superstar - white / off white / green,adidas Originals,Off White & Green,Code fw2292,Vegan upper with Rubber sole,R1424,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1870095/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 8, UK 9, UK 10, UK 11, UK 12, UK 7, ",,,,,,,,,,,,,,,,,
640,Ultrarange exo se - (66 supply) grape leaf/marshmallow,Vans,66 supply) Grape leaf/marshmallow,Code VN0A4UWM27C1,Textile Upper with Suede Overlays & Rubber Sole,R1039,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1921020/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
641,Ua era - (flame) true white/classic white,Vans,(flame) True white & classic white,Code vn0a4bv42231,Canvas Upper with Suede overlays & Rubber sole,R584,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1921050/original.jpg,men,"UK 3, UK 4, UK 9, UK 11, UK 12, UK 5, UK 6, UK 7, UK 8, UK 10, ",,,,,,,,,,,,,,,,,
642,Classic Slip-On - (mix & match) grape juice/bright marigold,Vans,Grape Juice & Bright Marigold,Code VN0A4BV316V1,Canvas & Suede Upper with Waffle Sole,R519,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1919835/original.jpg,men,"UK 4, UK 5, UK 3, UK 6, UK 7, UK 8, UK 9, UK 10, ",,,,,,,,,,,,,,,,,
643,Mexico 66 - amber & cream,Onitsuka Tiger,Amber & Cream,Code 1183A845 - 800,Synthetic Upper with Rubber Sole,R909,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1919156/original.jpg,men,"UK 11, UK 12, UK 13, UK 6, UK 7, UK 8, UK 9, UK 10, ",,,,,,,,,,,,,,,,,
644,Era - (flame) black/true white,Vans,Flame Black & True White,Code VN0A4BV4XEY1,Canvas Upper with Waffle Sole,R584,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1919758/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
645,Mexico 66 - mako blue & cream,Onitsuka Tiger,Mako Blue & Cream,Code 1183A845 - 400,Synthetic Upper with Rubber Sole,R909,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1919095/original.jpg,men,"UK 3, UK 4, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, ",,,,,,,,,,,,,,,,,
646,Mexico 66 - cilantro & cream,Onitsuka Tiger,Cilantro & Cream,Code 1183A845 - 300,Synthetic Upper with Rubber Sole,R909,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1919077/original.jpg,men,"UK 12, UK 13, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",,,,,,,,,,,,,,,,,
647,Superstar og - core black/ftwr white/core black,adidas Originals,Ftwr White & Core Black,Code eg4959,Leather Upper with Rubber Sole,R1049,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1870074/original.jpg,men,"UK 10, UK 12, UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 11, ",,,,,,,,,,,,,,,,,
648,Superstar og - core black/ftwr white/core black,adidas Originals,Ftwr White & Core Black,Code eg4959,Leather Upper with Rubber Sole,R1049,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1870074/original.jpg,men,"UK 10, UK 12, UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 11, ",,,,,,,,,,,,,,,,,
649,UA Jet - royal / white / taxi,Under Armour,Royal/White/Taxi,Code 3022051-403,Mesh Upper with Leather Overlays & Rubber Sole,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1916180/original.jpg,men,"UK 7, UK 8, UK 9, UK 10, UK 11, UK 13, UK 6, UK 8.5, UK 9.5, UK 10.5, UK 12, ",,,,,,,,,,,,,,,,,
650,Team Court - ftwr white / collegiate burgundy / wonder glow,adidas Originals,"Ftwr White, Collegiate Burgundy & Wonder Glow",Code fw5066,Leather Upper with Rubber sole,R844,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1916839/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",,,,,,,,,,,,,,,,,
651,UA Jet - versa red/white/beta,Under Armour,Versa Red/White/Beta,Code 3022051-600,Mesh Upper with Leather Overlays & Rubber Sole,R974,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1916186/original.jpg,men,"UK 7, UK 9, UK 10, UK 11, UK 12, UK 13, UK 6, UK 8, UK 8.5, UK 9.5, UK 10.5, ",,,,,,,,,,,,,,,,,
652,RS-X³ millenium - puma black-puma white,PUMA,Puma black-Puma white,Code 373236-01,Mesh Upper with Rubber Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/1911653/original.jpg,men,"UK 11, UK 6, UK 7, UK 8, UK 9, UK 10, UK 12, ",,,,,,,,,,,,,,,,,
