,Model,Brand,Colour,Fabrication,Style,Price,Picture,Age,size
23,Sk8-hi - (tartan daze) multi/acid dye,Vans,(tartan daze) multi/acid dye,Canvas & Leather Upper with Waffle Sole,Code VN0A32QG9GB1,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2244877/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
24,Court Tourino - core black/ftwr white,Adidas Originals,Core black/core black/ftwr white,Synthetic Upper with Rubber Sole,,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2223636/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
25,Jada - puma white-puma white-puma silver-eggshell blue,PUMA,puma white-puma white-puma silver-eggshell blue,Leather Upper with Rubber Sole,Code 38075104,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2243949/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
26,Old skool zip - (tartan daze) multi/acid dye,Vans,(tartan daze) multi/acid dye,Canvas & Leather Upper with Waffle Sole,Code VN0A34939GB1,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2243914/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
27,Club c 85 - white/alabas/chalk,Reebok,White/Alabas/Chalk,Leather upper with Rubber sole,Code Fv1095,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2243497/original.jpg,women,"UK 3, UK 4, UK 6, UK 8, UK 5, UK 7, "
28,Freestyle hi Wonder Woman - shady grey / shady grey / fearless purple,Reebok,"Shady grey, Shady Grey & Fearless Purple",Nubuck Upper with Rubber Sole,Code FW4658,R1799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2242850/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
29,Cl lthr - white/white/white,Reebok,White/White/White,Leather Upper with Rubber Sole,Code FV1083,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197792/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, "
30,Cl legacy - white/trgry1/skugry,Reebok,White/Trgry1/Skugry,Textile Upper with Rubber Sole,Code FY7379,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2198462/original.jpg,women,"UK 9, UK 10, UK 11, UK 3, UK 4, UK 5, UK 6, UK 8, "
31,Calow basic q2 - white,G-Star RAW,White,Suede & Textile Upper,Code D20039-C826-110,R2199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2241682/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
32,Calow basic q2 - combat,G-Star RAW,Combat,Cow Suede Leather and PU-leather detailing,Code D20039-C826-723,R2199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221168/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
33,Cl legacy - alabas/chalk/lasred,Reebok,alabas/chalk/lasred,Textile Upper with Rubber Sole,Code FY7432,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2198505/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, "
34,Suede triplex - suede triplex - 38117508 - rosewater-peony-puma white,PUMA,Rosewater-peony-puma white,Suede Upper with Rubber sole,,R1599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2241501/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
35,Calow basic q2 - delta blue,G-Star RAW,Delta blue,Cow Suede Leather & PU-leather detailing,Code D20039-C826-1852,R2199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221139/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
36,Classic Slip-On x Spongebob - alohabob,Vans,Alohabob,Canvas Upper with Waffle Sole,Code VN0A33TBYZ11,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240356/original.jpg,men,"UK 4, UK 6, UK 8, UK 9, UK 10, UK 11, UK 3, UK 5, UK 7, "
37,SK8-Hi x Spongebob - imaginaaation,Vans,Imaginaaation,Canvas Upper with Waffle Sole,Code VN0A32QGZAW1,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240324/original.jpg,men,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 3, "
38,Authentic x SpongeBob - airbrush,Vans,Airbrush,Canvas Upper with Waffle Sole,Code VN0A5HZSZAS1,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240285/original.jpg,men,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, "
39,2790 cotlettering - white,SUPERGA,White,Canvas Upper with Rubber Sole,Code S7117DW-901,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240775/original.jpg,women,"UK 5.5, UK 6, UK 6.5, UK 7, UK 8, UK 2.5, UK 3.5, UK 4, UK 5, "
40,Cl legacy - minblu/cougrn/syello,Reebok,Minblu/Cougrn/Syello,Leather Upper with Rubber Sole,Code FY7335,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2198399/original.jpg,women,"UK 3, UK 7, UK 8, UK 11, UK 4, UK 5, UK 6, UK 9, UK 10, "
41,Club c 85 - white/white/neoblu,Reebok,white/white/neoblu,Leather Upper with Rubber Sole,Code FV1096,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197845/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
42,2341 alpina jelly - beige lt sand,SUPERGA,beige lt sand,Canvas Upper with Gum Sole,Code S1114WW-602,R1499,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2240755/original.jpg,women,"UK 2.5, UK 3.5, UK 4, UK 5, UK 5.5, UK 6.5, UK 7, UK 8, "
43,Club c 85 - white/elefla/neoblu,Reebok,white/elefla/neoblu,Textile Upper with Rubber Sole,Code FV1086,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197753/original.jpg,women,"UK 5, UK 6, UK 7, UK 8, UK 3, UK 4, "
44,Suede Mayu UP women's sneakers - super lemon-marshmallow-gum 3,PUMA,super lemon-marshmallow-gum,Suede Upper with Gum Sole,Code 38165003,R1899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2238576/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
