,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size
10,X-ray² square iri wmn's - puma black-puma black-pink lady-puma silver,PUMA,Puma Black-Puma Black-Pink Lady-Puma Silver,Code 375965 01,Mesh Upper with Leather Overlays & Rubber Sole,R1399,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2209355/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
11,237 - black (001),New Balance,Black,Code ws237cc,Suede & Mesh upper with Rubber Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2209084/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 3, UK 8, "
12,Puma R78 futr iridescent wmn's - puma black-blue glow,PUMA,Puma Black-Blue Glow,Code 375466 03,Mesh Upper with Synthetic Leather Overlays & Rubber Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2209330/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
13,Ralph sampson 70 rubber kitsune -  puma x maison kitsune - meadowlark,PUMA Select,Meadowlark,Code 375647 02,Leather Upper with Rubber Overlays & Rubber Sole,R2599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2209342/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
14,237 - sea salt (108),New Balance,Sea salt,Code Ws237cb,Suede & Mesh upper with Rubber Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2209035/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
15,Puma r78 - pink lady-puma white-gray violet,PUMA,Pink lady-puma white-gray violet,Code 373117 28,Nylon ripstop with synthetic suede overlays & rubber sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2207472/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
16,Ua classic slip-on - (galaxy) black/true white,Vans,Galaxy black/true white,Code VN0A33TBG4F1,Canvas Upper with Waffle Sole,R799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2207606/original.jpg,women,"UK 3, UK 5, UK 6, UK 7, UK 4, UK 8, "
17,Ua era - orchid/true white,Vans,Orchid/true white,Code VN0A54F13SQ1,Canvas Upper with Waffle Sole,R749,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2207555/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
18,S-mydori lc w sneakers - white,Diesel,White,,Leather Upper with Rubber Sole,R2449,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2207987/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
19,S-clever so w  sneakers - gray violet / white,Diesel,Grey violet / white,,Faux-leather Upper with Rubber Sole,R1959,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2207962/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
20,S-mydori lc w sneakers - black,Diesel,Black,,Leather Upper with Rubber Sole,R2449,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2208001/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
21,327 - black fig,New Balance,Black Fig,Code WS327FA,Nylon upper with Synthetic Suede Overlays & Rubber Sole,R1899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2207007/original.jpg,women,"UK 6, UK 3, UK 4, UK 5, UK 7, UK 8, "
22,RE.GEN Oslo Maja  - puma white-gum,PUMA,Puma white-gum,Code 375860 01,Synthetic Upper with Rubber Sole,R1899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2207496/original.jpg,women,"UK 4, UK 6, UK 3, UK 5, UK 7, UK 8, "
23,Cali wedge soft wild wn's - puma black-puma white-puma silver,PUMA,Puma black-puma white-puma silver,Code 375048 01,Suede upper with Rubber sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2207485/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
24,Ua slip-on platform sf - (surf supply) karina/black,Vans,Surf supply karina/black,Code vn0a3mvc4xy1,Canvas Upper with Waffle Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2207615/original.jpg,women,"UK 5, UK 3, UK 4, UK 6, UK 7, UK 8, "
25,237 - purple,New Balance,"Purple, Green & Yellow",Code WS237SB,Nylon upper with Suede Overlays & Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2206988/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
26,Classic slip-on - (better together) fuchsia purple/true white,Vans,Fuchsia Purple/True White,Code VN0A33TB42W,Textile Upper with Waffle Sole,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2145622/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, "
27,Vans x liberty fabrics old skool tapered - multi/yellow floral,Vans,Multi/Yellow Floral,Code VN0A54F44TW,Canvas Upper with Waffle Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2193463/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
28,Chuck Taylor All Star pride hi - white/multi,Converse,White/multi/white - pride,Code 170822C,,R1049,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2198482/original.jpg,men,"UK 3, UK 4, UK 11, UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, "
29,Vans x Liberty fabrics Old Skool tapered,Vans,Multi/Patchwork Floral,Code VN0A54F44TV,Canvas Upper with Waffle Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2193453/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
30,Chuck Taylor All Star pride ox - white/multi,Converse,White/multi/white - pride,Code 170823C,Canvas Upper with Rubber sole,R974,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2198516/original.jpg,men,"UK 3, UK 7, UK 4, UK 5, UK 6, UK 8, UK 9, UK 10, "
31,UA classic slip-on - (bandana) true blue & true white,Vans,True Blue & True White,Code VN0A33TB42U1,Canvas Upper with Waffle Sole,R799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197019/original.jpg,men,"UK 5, UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 3, UK 4, "
32,UA classic slip-on - (bandana) black & true white,Vans,Black & True White,Code VN0A33TBD9S1,Canvas Upper with Waffle Sole,R799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2196955/original.jpg,men,"UK 8, UK 9, UK 10, UK 11, UK 3, UK 4, UK 5, UK 6, UK 7, "
33,star replay platform all of the stars ox - black/white,Converse,Black & White,Code 565366C,Canvas Upper with Rubber sole,R899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2196137/original.jpg,women,"UK 3, UK 5, UK 6, UK 7, UK 8, UK 4, "
34,UA sk8-hi - (mystic) parisian night/shifting sand,Vans,Parisian Night/Shifting Sand,Code VN0A32QG4UA1,Textile & Suede Upper with Waffle Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197158/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, "
35,UA old skool stacked - (uv ink) leopard/true white,Vans,Leopard & True White,Code VN0A4U154TJ1,Canvas & Leather Upper with Rubber Sole,R1599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197128/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
36,Vans x Liberty fabrics Old Skool tapered,Vans,Multi/Black Floral,Code VN0A54F44TR,Canvas Upper with Waffle Sole,R1299,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2196905/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
37,237 - rose water,New Balance,Rose Water (692),Code ws237ca,Suede Upper with Rubber sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2196178/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
38,UA sid - misty blue,Vans,Misty Blue,Code VN0A54F53NQ1,Canvas Upper with Waffle Sole,R1099,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197234/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 9, "
39,UA classic slip-on - (bandana) classic white & black,Vans,Classic White & Black,Code VN0A33TB42S1,Canvas Upper with Waffle Sole,R799,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197001/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 3, UK 4, UK 5, "
40,UA classic slip-on - uv ink & true white,Vans,UV Ink & True White,Code VN0A33TB45R1,Canvas Upper with Waffle Sole,R849,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2197201/original.jpg,men,"UK 9, UK 10, UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, UK 11, "
41,Suede Mayu UP - grenadine-marshmallow-gum 3,PUMA,Grenadine-Marshmallow-Gum 3,Code 38165002,Suede Upper with Gum Sole,R1424,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2195372/original.jpg,women,"UK 4, UK 5, UK 6, UK 7, UK 8, UK 3, "
42,Forum low tt w - ftwr white/ecru tint/blue tint s18,adidas Originals,"Fy8014 White, Ecru Tint & Blue Tint",Code fy8014,Leather Upper with Suede Overlays & Rubber sole,R1899,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2194967/original.jpg,women,"UK 3.5, UK 4, UK 5, UK 6, UK 7, UK 8, "
43,Chuck taylor all star madison garden party ox - light blue,Converse,Light Blue,Code 570807C,Canvas Upper with Rubber Sole,R636,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2192886/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
44,Chuck taylor all star madison summer fest ox - off white,Converse,Off White,Code 570910C,Canvas Upper with Rubber Sole,R636,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2192918/original.jpg,women,"UK 3, UK 4, UK 5, UK 6, UK 7, UK 8, "
45,5740 - blue & grey (462),New Balance,Blue & Grey,,Suede/Mesh Upper/Rubber Sole,R2199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2192979/original.jpg,women,"UK 4, UK 5, UK 6, UK 8, UK 3, UK 7, "
46,Rovulc low ii wmn - combat,G-Star RAW,Combat,Code D18654-8701-723,Canvas Upper with Rubber sole,R974,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2192727/original.jpg,women,"UK 3, UK 8, UK 4, UK 5, UK 6, UK 7, "
47,2750 jnsu - blue notte,SUPERGA,Blue Notte,Code s001em0-a08250,,R629,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2192602/original.jpg,women,"UK 3.5, UK 4, UK 5.5, UK 6, UK 6.5, UK 8, UK 9, UK 10, UK 2.5, UK 5, UK 7, "
