,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size
31,Calow - white wp,G-Star RAW,White wp,Code D20036-B703-B557,,R2199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2221187/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
32,"Air Force 1 '07 LV8 ""Himalayan Rhubarb""",Nike,White/Natural-White-Black,Code CZ0338-101,Leather Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2243880/original.jpg,men,"UK 6, UK 7, UK 7.5, UK 8, UK 8.5, UK 9, UK 9.5, UK 10, UK 10.5, UK 11, UK 6.5, UK 12, "
33,"Blazer mid '77 ""pomegranate""",Nike,Black/Solar Flare-White-Black,Code CI1166-001,Canvas Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2243872/original.jpg,men,"UK 6, UK 6.5, UK 7, UK 7.5, UK 8, UK 8.5, UK 9, UK 10, UK 11, UK 12, "
34,Suede triplex - peacoat-high risk red-puma white,PUMA,Navy,Code 38117504,Suede Upper with Rubber Sole,R1599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2243968/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
35,Zx 1k boost - ftwr white/core black/halo silver,Adidas Originals,"White, Black Core/Silver Halo",,Textile Upper/Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2065899/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, "
36,Suede triplex - puma black-steel gray-puma white,PUMA,puma black-steel gray-puma white,Code 38117501,Suede Upper with Rubber Sole,R1599,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2243983/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, "
37,Forum low - fy7757 - ftwr white/ftwr white/core black,Adidas Originals,Ftwr white/ftwr white/core black,Code FY7757,Leather Upper with Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2245804/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, "
38,Zx 1k boost - core black/ftwr white/black silver met.,Adidas Originals,"Black, White & Silver met",,Textile Upper/Rubber Sole,R1699,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2065914/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 13, "
39,Instapump Fury OG nm - FW7699 - black/true grey 7/white,Reebok,"Black, True Grey & White",Code FW7699,Mesh Upper with Rubber Sole,R1999,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2242830/original.jpg,men,"UK 6, UK 8, UK 9, UK 10, UK 7, "
40,Cl lthr - chalk/deecob/utiyel,Reebok,Chalk/deecob/utiyel,Code Fv6364,Leather Upper with Rubber Sole,R1199,https://assets.superbalistcdn.co.za/142x206/filters:quality(75):format(jpg)/2243557/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, "
